,policy,dr007,close_m,ret_m,level_base100,gap,gap_ma3,rel_gap,ratio
2014-01-31,,4.7738,1.463,,100.0,,,,
2014-02-28,,4.157,1.4,-0.04306220095693791,95.69377990430621,,,,
2014-03-31,,3.2054,1.297,-0.07357142857142851,88.65345181134654,,,,
2014-04-30,,3.5044,1.254,-0.033153430994602884,85.71428571428571,,,,
2014-05-31,,3.2321,1.291,0.029505582137161035,88.24333561175666,,,,
2014-06-30,,3.3078,1.372,0.06274206041828045,93.77990430622009,,,,
2014-07-31,,3.854,1.313,-0.04300291545189516,89.74709501025289,,,,
2014-08-31,,3.4933,1.394,0.06169078446306164,95.28366370471633,,,,
2014-09-30,,3.2642,1.5,0.07604017216642767,102.52904989747095,,,,
2014-10-31,,3.0699,1.473,-0.017999999999999905,100.68352699931648,,,,
2014-11-30,,3.2517,1.524,0.03462321792260692,104.16951469583049,,,,
2014-12-31,,4.3277,1.43,-0.061679790026246795,97.74436090225564,,,,
2015-01-31,,4.0052,1.623,0.1349650349650351,110.93643198906358,,,,
2015-02-28,,4.6498,1.863,0.1478743068391868,127.34107997265893,,,,
2015-03-31,,4.4802,2.247,0.2061191626409018,153.5885167464115,,,,
2015-04-30,,2.9089,2.748,0.22296395193591478,187.83321941216684,,,,
2015-05-31,,2.1197,3.384,0.23144104803493426,231.3055365686945,,,,
2015-06-30,,2.453,2.733,-0.19237588652482263,186.80792891319211,,,,
2015-07-31,,2.5642,2.368,-0.13355287230150026,161.85919343814084,,,,
2015-08-31,,2.4698,1.83,-0.22719594594594583,125.0854408749146,,,,
2015-09-30,,2.4079,1.935,0.05737704918032782,132.26247436773758,,,,
2015-10-31,,2.4227,2.349,0.21395348837209305,160.56049213943956,,,,
2015-11-30,,2.3634,2.52,0.07279693486590033,172.24880382775126,,,,
2015-12-31,,2.4524,2.539,0.007539682539682513,173.54750512645253,,,,
2016-01-31,,2.4936,1.879,-0.2599448601811737,128.4347231715653,,,,
2016-02-29,,2.4196,1.77,-0.058009579563597646,120.98427887901575,,,,
2016-03-31,,2.4612,2.119,0.1971751412429379,144.83937115516065,,,,
2016-04-30,,2.4944,2.033,-0.040585181689476335,138.96103896103898,,,,
2016-05-31,,2.4325,2.069,0.017707820954254716,141.42173615857828,,,,
2016-06-30,,2.4581,2.132,0.030449492508458187,145.72795625427204,,,,
2016-07-31,,2.472,2.031,-0.04737335834896805,138.82433356117568,,,,
2016-08-31,,2.4826,2.099,0.03348104382077799,143.47231715652768,,,,
2016-09-30,,2.5132,2.062,-0.017627441638875863,140.9432672590567,,,,
2016-10-31,,2.6741,2.071,0.004364694471387098,141.55844155844156,,,,
2016-11-30,,2.7037,2.092,0.010140028971511228,142.9938482570061,,,,
2016-12-31,,3.0115,1.881,-0.1008604206500956,128.57142857142853,,,,
2017-01-31,,2.676,1.804,-0.040935672514619825,123.3082706766917,,,,
2017-02-28,,3.0555,1.846,0.02328159645232808,126.17908407382087,,,,
2017-03-31,,3.4685,1.826,-0.010834236186348822,124.81203007518793,,,,
2017-04-30,,3.3117,1.777,-0.02683461117196062,121.4627477785372,,,,
2017-05-31,,3.2629,1.692,-0.04783342712436689,115.65276828434719,,,,
2017-06-30,,3.4569,1.748,0.03309692671394804,119.48051948051943,,,,
2017-07-31,,3.3185,1.652,-0.05491990846681927,112.91866028708128,,,,
2017-08-31,,3.5497,1.765,0.06840193704600495,120.64251537935743,,,,
2017-09-30,,3.466,1.78,0.008498583569405138,121.66780587833215,,,,
2017-10-31,,3.3621,1.773,-0.003932584269663031,121.1893369788106,,,,
2017-11-30,,3.4734,1.663,-0.0620417371686407,113.67053998632942,,,,
